frameMs,draws,vsB0,vsB1,vsB2,vsB3,psB0,psB1,psB2,psB3,vbLocks,vbDiscards,ibLocks,ibDiscards
6.64,14,14,0,0,0,0,0,0,0,13,0,0,0
6.64,14,14,0,0,0,0,0,0,0,13,0,0,0
7.45,14,14,0,0,0,0,0,0,0,13,0,0,0
6.51,14,14,0,0,0,0,0,0,0,13,0,0,0
7.20,14,14,0,0,0,0,0,0,0,13,0,0,0
7.15,14,14,0,0,0,0,0,0,0,13,0,0,0
7.27,14,14,0,0,0,0,0,0,0,13,0,0,0
6.67,14,14,0,0,0,0,0,0,0,13,0,0,0
7.08,14,14,0,0,0,0,0,0,0,13,0,0,0
7.82,14,14,0,0,0,0,0,0,0,13,0,0,0
6.71,14,14,0,0,0,0,0,0,0,13,0,0,0
7.65,14,14,0,0,0,0,0,0,0,13,0,0,0
7.73,14,14,0,0,0,0,0,0,0,13,0,0,0
7.09,14,14,0,0,0,0,0,0,0,13,0,0,0
6.82,14,14,0,0,0,0,0,0,0,13,0,0,0
7.11,14,14,0,0,0,0,0,0,0,13,0,0,0
7.49,14,14,0,0,0,0,0,0,0,13,0,0,0
7.64,14,14,0,0,0,0,0,0,0,13,0,0,0
7.34,14,14,0,0,0,0,0,0,0,13,0,0,0
7.39,14,14,0,0,0,0,0,0,0,13,0,0,0
7.04,14,14,0,0,0,0,0,0,0,13,0,0,0
7.22,14,14,0,0,0,0,0,0,0,13,0,0,0
7.83,14,14,0,0,0,0,0,0,0,13,0,0,0
6.42,14,14,0,0,0,0,0,0,0,13,0,0,0
7.74,12,12,0,0,0,0,0,0,0,11,0,0,0
7.01,12,12,0,0,0,0,0,0,0,11,0,0,0
7.03,12,12,0,0,0,0,0,0,0,11,0,0,0
6.84,12,12,0,0,0,0,0,0,0,11,0,0,0
6.97,12,12,0,0,0,0,0,0,0,11,0,0,0
7.08,12,12,0,0,0,0,0,0,0,11,0,0,0
7.29,12,12,0,0,0,0,0,0,0,11,0,0,0
7.70,12,12,0,0,0,0,0,0,0,11,0,0,0
6.73,12,12,0,0,0,0,0,0,0,11,0,0,0
7.59,12,12,0,0,0,0,0,0,0,11,0,0,0
7.00,12,12,0,0,0,0,0,0,0,11,0,0,0
7.69,12,12,0,0,0,0,0,0,0,11,0,0,0
6.92,12,12,0,0,0,0,0,0,0,11,0,0,0
6.81,12,12,0,0,0,0,0,0,0,11,0,0,0
7.59,12,12,0,0,0,0,0,0,0,11,0,0,0
7.27,12,12,0,0,0,0,0,0,0,11,0,0,0
7.46,12,12,0,0,0,0,0,0,0,11,0,0,0
6.79,12,12,0,0,0,0,0,0,0,11,0,0,0
7.11,12,12,0,0,0,0,0,0,0,11,0,0,0
6.71,12,12,0,0,0,0,0,0,0,11,0,0,0
7.36,12,12,0,0,0,0,0,0,0,11,0,0,0
6.61,12,12,0,0,0,0,0,0,0,11,0,0,0
7.12,12,12,0,0,0,0,0,0,0,11,0,0,0
7.17,12,12,0,0,0,0,0,0,0,11,0,0,0
6.95,12,12,0,0,0,0,0,0,0,11,0,0,0
7.44,12,12,0,0,0,0,0,0,0,11,0,0,0
