frameMs,draws,vsB0,vsB1,vsB2,vsB3,psB0,psB1,psB2,psB3,vbLocks,vbDiscards,ibLocks,ibDiscards
6.81,16,16,0,0,0,0,0,0,0,15,0,0,0
6.90,16,16,0,0,0,0,0,0,0,15,0,0,0
7.65,16,16,0,0,0,0,0,0,0,15,0,0,0
7.07,16,16,0,0,0,0,0,0,0,15,0,0,0
7.16,16,16,0,0,0,0,0,0,0,15,0,0,0
8.35,16,16,0,0,0,0,0,0,0,15,0,0,0
6.85,16,16,0,0,0,0,0,0,0,15,0,0,0
6.82,16,16,0,0,0,0,0,0,0,15,0,0,0
7.83,16,16,0,0,0,0,0,0,0,15,0,0,0
7.07,16,16,0,0,0,0,0,0,0,15,1,0,0
6.82,16,16,0,0,0,0,0,0,0,15,0,0,0
7.12,16,16,0,0,0,0,0,0,0,15,0,0,0
6.92,16,16,0,0,0,0,0,0,0,15,0,0,0
6.76,16,16,0,0,0,0,0,0,0,15,0,0,0
7.20,16,16,0,0,0,0,0,0,0,15,0,0,0
6.68,16,16,0,0,0,0,0,0,0,15,0,0,0
7.74,16,16,0,0,0,0,0,0,0,15,0,0,0
7.70,16,16,0,0,0,0,0,0,0,15,0,0,0
6.91,16,16,0,0,0,0,0,0,0,15,0,0,0
7.55,16,16,0,0,0,0,0,0,0,15,0,0,0
6.71,16,16,0,0,0,0,0,0,0,15,0,0,0
7.88,16,16,0,0,0,0,0,0,0,15,0,0,0
7.00,16,16,0,0,0,0,0,0,0,15,0,0,0
7.05,16,16,0,0,0,0,0,0,0,15,0,0,0
6.78,16,16,0,0,0,0,0,0,0,15,0,0,0
8.58,16,16,0,0,0,0,0,0,0,15,0,0,0
6.86,16,16,0,0,0,0,0,0,0,15,0,0,0
6.76,16,16,0,0,0,0,0,0,0,15,0,0,0
7.22,16,16,0,0,0,0,0,0,0,15,0,0,0
7.35,16,16,0,0,0,0,0,0,0,15,0,0,0
7.68,16,16,0,0,0,0,0,0,0,15,0,0,0
6.66,16,16,0,0,0,0,0,0,0,15,0,0,0
7.76,16,16,0,0,0,0,0,0,0,15,0,0,0
6.53,16,16,0,0,0,0,0,0,0,15,0,0,0
7.46,16,16,0,0,0,0,0,0,0,15,0,0,0
6.61,16,16,0,0,0,0,0,0,0,15,0,0,0
7.48,16,16,0,0,0,0,0,0,0,15,0,0,0
7.46,16,16,0,0,0,0,0,0,0,15,0,0,0
6.30,16,16,0,0,0,0,0,0,0,15,0,0,0
7.56,16,16,0,0,0,0,0,0,0,15,0,0,0
7.15,16,16,0,0,0,0,0,0,0,15,0,0,0
7.57,16,16,0,0,0,0,0,0,0,15,0,0,0
6.96,16,16,0,0,0,0,0,0,0,15,0,0,0
7.87,16,16,0,0,0,0,0,0,0,15,0,0,0
6.87,16,16,0,0,0,0,0,0,0,15,0,0,0
7.00,16,16,0,0,0,0,0,0,0,15,0,0,0
6.82,16,16,0,0,0,0,0,0,0,15,0,0,0
7.39,16,16,0,0,0,0,0,0,0,15,0,0,0
6.83,16,16,0,0,0,0,0,0,0,15,0,0,0
7.07,16,16,0,0,0,0,0,0,0,15,0,0,0
16.29,20,20,0,0,0,0,0,0,0,19,0,0,0
1.37,20,20,0,0,0,0,0,0,0,19,0,0,0
7.75,20,20,0,0,0,0,0,0,0,19,0,0,0
6.75,20,20,0,0,0,0,0,0,0,19,0,0,0
8.16,20,20,0,0,0,0,0,0,0,19,0,0,0
6.76,20,20,0,0,0,0,0,0,0,19,0,0,0
7.50,20,20,0,0,0,0,0,0,0,19,0,0,0
6.37,20,20,0,0,0,0,0,0,0,19,0,0,0
7.45,20,20,0,0,0,0,0,0,0,19,0,0,0
6.74,20,20,0,0,0,0,0,0,0,19,0,0,0
7.34,20,20,0,0,0,0,0,0,0,19,0,0,0
6.86,20,20,0,0,0,0,0,0,0,19,0,0,0
6.68,20,20,0,0,0,0,0,0,0,19,0,0,0
7.22,20,20,0,0,0,0,0,0,0,19,0,0,0
7.11,20,20,0,0,0,0,0,0,0,19,0,0,0
6.91,20,20,0,0,0,0,0,0,0,19,0,0,0
7.03,20,20,0,0,0,0,0,0,0,19,0,0,0
8.30,20,20,0,0,0,0,0,0,0,19,0,0,0
6.61,20,20,0,0,0,0,0,0,0,19,0,0,0
7.07,20,20,0,0,0,0,0,0,0,19,0,0,0
7.09,20,20,0,0,0,0,0,0,0,19,0,0,0
7.28,20,20,0,0,0,0,0,0,0,19,0,0,0
7.14,20,20,0,0,0,0,0,0,0,19,0,0,0
6.68,20,20,0,0,0,0,0,0,0,19,0,0,0
7.44,20,20,0,0,0,0,0,0,0,19,0,0,0
7.03,20,20,0,0,0,0,0,0,0,19,0,0,0
6.77,20,20,0,0,0,0,0,0,0,19,0,0,0
7.66,20,20,0,0,0,0,0,0,0,19,0,0,0
6.70,20,20,0,0,0,0,0,0,0,19,0,0,0
14.67,22,18,0,0,1,2,1,0,1,21,0,0,0
1.98,22,18,0,0,1,2,0,0,1,21,0,0,0
47.90,23,19,0,0,1,2,0,0,1,22,0,0,0
22.17,23,19,0,0,1,2,0,0,1,22,0,0,0
1.23,23,19,0,0,1,2,0,0,1,22,0,0,0
11.20,23,19,0,0,1,2,0,0,1,22,0,0,0
9.23,23,19,0,0,1,2,0,0,1,22,0,0,0
1.14,23,19,0,0,1,2,0,0,1,22,0,0,0
13.78,23,19,0,0,1,2,0,0,1,22,0,0,0
1.04,23,19,0,0,1,2,0,0,1,22,0,0,0
14.55,23,19,0,0,1,2,0,0,1,22,0,0,0
1.30,23,19,0,0,1,2,0,0,1,22,0,0,0
12.58,23,19,0,0,1,2,0,0,1,22,0,0,0
35.02,36,32,0,0,14,15,0,0,14,34,1,0,0
7.09,36,32,0,0,14,15,0,0,14,34,0,0,0
3.51,36,32,0,0,14,15,0,0,14,34,0,0,0
7.42,36,32,0,0,14,15,0,0,14,34,0,0,0
6.75,36,32,0,0,14,15,0,0,14,34,0,0,0
7.12,36,32,0,0,14,15,0,0,14,34,0,0,0
8.26,36,32,0,0,14,15,0,0,14,34,0,0,0
8.07,36,32,0,0,14,15,0,0,14,34,0,0,0
4.20,36,32,0,0,14,15,0,0,14,34,0,0,0
7.83,36,32,0,0,14,15,0,0,14,34,0,0,0
6.34,36,32,0,0,14,15,0,0,14,34,0,0,0
6.51,36,32,0,0,14,15,0,0,14,34,0,0,0
7.11,36,32,0,0,14,15,0,0,14,34,0,0,0
7.71,36,32,0,0,14,15,0,0,14,34,1,0,0
6.88,36,32,0,0,14,15,0,0,14,34,0,0,0
7.01,36,32,0,0,14,15,0,0,14,34,0,0,0
8.21,36,32,0,0,14,15,0,0,14,34,0,0,0
5.80,36,32,0,0,14,15,0,0,14,34,0,0,0
7.16,36,32,0,0,14,15,0,0,14,34,0,0,0
6.87,36,32,0,0,14,15,0,0,14,34,0,0,0
7.01,36,32,0,0,14,15,0,0,14,34,0,0,0
7.47,36,32,0,0,14,15,0,0,14,34,0,0,0
6.98,36,32,0,0,14,15,0,0,14,34,0,0,0
7.31,36,32,0,0,14,15,0,0,14,34,0,0,0
8.02,36,32,0,0,14,15,0,0,14,34,0,0,0
