CORNERSNAP-RESOLVE: frame 6772 obj 127040355 rewind (3472.277,5.000,-4850.874)->(3472.366,5.000,-4851.018) waypoints 2
CORNERSNAP-RESOLVE: frame 6773 obj 127040355 rewind (3472.321,5.000,-4850.840)->(3472.402,5.000,-4850.972) waypoints 2
CORNERSNAP-RESOLVE: frame 6774 obj 127040355 rewind (3472.341,5.000,-4850.777)->(3472.435,5.000,-4850.930) waypoints 2
CORNERSNAP-RESOLVE: frame 6775 obj 127040355 rewind (3472.353,5.000,-4850.687)->(3472.473,5.000,-4850.881) waypoints 2
CORNERSNAP-RESOLVE: frame 6776 obj 127040355 rewind (3472.460,5.000,-4850.719)->(3472.521,5.000,-4850.819) waypoints 2
CORNERSNAP-RESOLVE: frame 6777 obj 127040355 rewind (3472.434,5.000,-4850.604)->(3472.547,5.000,-4850.787) waypoints 2
CORNERSNAP-RESOLVE: frame 6778 obj 127040355 rewind (3472.500,5.000,-4850.580)->(3472.592,5.000,-4850.729) waypoints 2
CORNERSNAP-RESOLVE: frame 6779 obj 127040355 rewind (3472.495,5.000,-4850.554)->(3472.598,5.000,-4850.721) waypoints 2
CORNERSNAP-RESOLVE: frame 6780 obj 127040355 rewind (3472.496,5.000,-4850.555)->(3472.598,5.000,-4850.721) waypoints 2
CORNERSNAP-RESOLVE: frame 6781 obj 127040355 rewind (3472.520,5.000,-4850.595)->(3472.598,5.000,-4850.721) waypoints 2
CORNERSNAP-RESOLVE: frame 6782 obj 127040355 rewind (3472.520,5.000,-4850.594)->(3472.598,5.000,-4850.721) waypoints 2
CORNERSNAP-RESOLVE: frame 6783 obj 127040355 rewind (3472.513,5.000,-4850.583)->(3472.598,5.000,-4850.721) waypoints 2
CORNERSNAP-RESOLVE: frame 6784 obj 127040355 rewind (3472.500,5.000,-4850.561)->(3472.598,5.000,-4850.721) waypoints 2
CORNERSNAP-RESOLVE: frame 6785 obj 127040355 rewind (3472.460,5.000,-4850.497)->(3472.598,5.000,-4850.721) waypoints 2
CORNERSNAP-RESOLVE: frame 6786 obj 127040355 rewind (3472.466,5.000,-4850.507)->(3472.598,5.000,-4850.721) waypoints 2
CORNERSNAP-RESOLVE: frame 6787 obj 127040355 rewind (3472.487,5.000,-4850.542)->(3472.598,5.000,-4850.721) waypoints 2
CORNERSNAP-RESOLVE: frame 6788 obj 127040355 rewind (3472.477,5.000,-4850.525)->(3472.598,5.000,-4850.721) waypoints 2
CORNERSNAP-RESOLVE: frame 6789 obj 127040355 rewind (3472.505,5.000,-4850.569)->(3472.598,5.000,-4850.721) waypoints 2
CORNERSNAP-RESOLVE: frame 6790 obj 127040355 rewind (3472.514,5.000,-4850.584)->(3472.598,5.000,-4850.721) waypoints 2
CORNERSNAP-RESOLVE: frame 6791 obj 127040355 rewind (3472.517,5.000,-4850.589)->(3472.598,5.000,-4850.721) waypoints 2
CORNERSNAP-RESOLVE: frame 6792 obj 127040355 rewind (3472.506,5.000,-4850.572)->(3472.598,5.000,-4850.721) waypoints 2
CORNERSNAP-RESOLVE: frame 6793 obj 127040355 rewind (3472.483,5.000,-4850.534)->(3472.598,5.000,-4850.721) waypoints 2
CORNERSNAP-RESOLVE: frame 6794 obj 127040355 rewind (3472.498,5.000,-4850.559)->(3472.598,5.000,-4850.721) waypoints 2
CORNERSNAP-RESOLVE: frame 6795 obj 127040355 rewind (3472.486,5.000,-4850.542)->(3472.598,5.000,-4850.721) waypoints 2
CORNERSNAP-RESOLVE: frame 6796 obj 127040355 rewind (3472.479,5.000,-4850.537)->(3472.598,5.000,-4850.721) waypoints 2
CORNERSNAP-RESOLVE: frame 6797 obj 127040355 rewind (3472.493,5.000,-4850.563)->(3472.598,5.000,-4850.721) waypoints 2
CORNERSNAP-RESOLVE: frame 6798 obj 127040355 rewind (3472.397,5.000,-4850.435)->(3472.598,5.000,-4850.721) waypoints 2
CORNERSNAP-RESOLVE: frame 6799 obj 127040355 rewind (3472.375,5.000,-4850.423)->(3472.598,5.000,-4850.721) waypoints 2
CORNERSNAP-RESOLVE: frame 6800 obj 127040355 rewind (3472.382,5.000,-4850.455)->(3472.598,5.000,-4850.721) waypoints 2
